reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A3UD50M7M72150,B000068NW5,synthezatory,"[0, 0]","I'm a pro-cheapo and I hated this thing. They're noisy, and the cables feel really cheap, gummy-like. Drop few more bucks and get something else!",1.0,Crap,1394755200,"03 14, 2014"
A2B78RXJ2PB6ZD,B000068NW5,Tom,"[0, 0]",Works great on my 100 watt Amp. Almost compares to a monster cable. And with Its length Its plenty of Room from your Guitar to amp. GOOD PRODUCT!,5.0,Works Good. No complaints!!!,1328313600,"02 4, 2012"
A18RGYRCEN181M,B000068NW5,Truvor,"[0, 0]","Good cable, as good as any expensive brand. Thick, a bit stiff and seems to be shielded. No complaints at all.",5.0,Good guitar cable,1386633600,"12 10, 2013"
A18LZ6VHS4DK69,B000068NW5,Wesley Newell,"[0, 0]","I own lots of hosa cables they are cheap and quality is there. I've only recieved one bad cable out of around 50 or so. I use a lot of these guys and if they work when you get them, they havn't failed yet.",5.0,hosa rocks,1360886400,"02 15, 2013"
AQG6AQXC703WD,B000068NZC,Bob,"[0, 0]","It is a decent cable. It does its job, but it leaves much to be desired as far as structural integrity is concerned. The mating part of the connector jiggles back and forth. The switch is also loose. The connector will move around 2mm out of the microphone without the switch being pressed.'I would not recommend using this cable for critical applications. It would be more suited to home or hobby use.",3.0,Does Its Job,1395792000,"03 26, 2014"
A2YGWCX3DQ6ER0,B000068NZC,Christian Morales,"[0, 0]",the cable is great for connecting directly to the computer microphone to record live without a console or mixer...... its great  i recomended,5.0,good for direct connect to computer,1372550400,"06 30, 2013"
A21VM9WVF8EOSJ,B000068NZC,"J. Warren ""NiALTA""","[3, 3]",Bought this to hook up a Beta 58 to a Panasonic G2 DSLR and a Kodak Zi8 for interviews. Works the way it's supposed to. 90 degree TRS is a nice touch. Good price.,5.0,Does what it was intended for,1323129600,"12 6, 2011"
A3M48SSAOTBSMW,B000068NZC,"L. Rapoport ""lenrapp""","[3, 3]","Just received this cord and it seems to work as expected. What can you say about an adapter cord?  It is well made, good construction and sound from my DSLR with my mic is superb.",5.0,Works as expected,1335312000,"04 25, 2012"
AFLRU6952DEFX,B000068NZC,S.,"[0, 0]","If you're like me, you probably bought this to hook up an XLR microphone to a digital recorder or a PC.It works fine for the handy type recorders.But forget hooking this directly to a PC.  Way too much noise.",4.0,Good for some uses,1396828800,"04 7, 2014"
A1W3CEEQBJ4GTN,B000068NZC,S. Marchuk,"[0, 0]","I bought this for my Canon Vixia HF G10 Video Camera and a Shotgun Mic that I recently purchased for it. I needed a 12&#34; wire for it to be a perfect fit from my mic (which is mounted on the Mini Advanced Shoe) to the microphone plug on the Video Camera...The wire on this thing is *not* 1 foot long. the actual wire is under 8&#34; long itself. I would have returned this thing but it was cheap enough that it wasn't worth the hassle... I'd have rated it 1 star, but I tried it on my Nikon D3200 (Shoe mounted Shotgun Mike) and it worked out ok. Still a tight fit though (since there's only 8&#34; of wire)...I'd recommend anyone looking for a short cable go with a 2' adapter; worst case scenario, you can zip-tie a loop instead of getting angry that it doesn't fit.Also, not sure if it's the wire (so this didn't affect stars) but I hear a hiss when recording. Again; unsure if it's the way the wires are stretched out to the max on the DSLR or not (or my shotgun mic).",2.0,Measure your damned wires before sending them...,1379289600,"09 16, 2013"
